hospital_name,address,LocName,fX,fY,assigned_cases,refused_attempts,refused_cases,total_demand,refusal_rate_raw,refusal_rate_bayes,accepted_weighted,refused_weighted,severity_pressure,demand_norm,size_penalty,stress_score,stress_score_scaled
あらいメンタルクリニック（荒井二,〒984-0032 宮城県仙台市若林区荒井２丁目１−１０,宮城県/仙台市/若林区/荒井/二丁目/１番,140.93553,38.24506,0,1,1,1,1.0,0.5454545454545454,0,0,0.0,0.07426982668360246,0.5,0.10328739535635799,0.021609723829983926
あらい整形外科クリニック（六丁目字左近堀,〒984-0032 宮城県仙台市若林区荒井５丁目8−番23号,宮城県/仙台市/若林区/荒井/五丁目/８番,140.94525,38.24622,0,4,4,4,1.0,0.6428571428571429,0,3,1.0,0.17244919717907164,0.5,0.3025510566727024,0.3058078813962288
あらまち内科クリニック（荒町,〒984-0073 宮城県仙台市若林区荒町１２３ １２３ビル ２階,宮城県/仙台市/若林区/荒町/１２３番地,140.88187,38.24965,1,2,2,3,0.6666666666666666,0.5384615384615384,1,3,0.75,0.14853965336720493,0.5,0.23950019863812388,0.21588211385775843
あんどうクリニック（四郎丸字吹上,〒981-1101 宮城県仙台市太白区四郎丸吹上２８−３８,宮城県/仙台市/太白区/四郎丸/吹上/２８番地,140.91196,38.19304,2,4,4,6,0.6666666666666666,0.5625,2,7,0.7777777777777778,0.20850176350057656,0.8,0.4130078776742278,0.4633460135969702
いがらしレディースクリニック（宮町四,〒980-0004 宮城県仙台市青葉区宮町４丁目５−３４ 2F 仙台市青葉区宮町4丁目5-34 Noie,宮城県/仙台市/青葉区/宮町/四丁目/５番,140.8831,38.27466,0,1,1,1,1.0,0.5454545454545454,0,2,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
いけだ循環器クリニック（福室二,〒983-0005 宮城県仙台市宮城野区福室２丁目６−２４,宮城県/仙台市/宮城野区/福室/二丁目/６番,140.96771,38.27299,0,1,1,1,1.0,0.5454545454545454,0,1,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
いしばし消化器内視鏡クリニック,〒984-0047 宮城県仙台市若林区木ノ下３丁目１６−２１ 薬師堂ATTRA 3F,宮城県/仙台市/若林区/木ノ下/三丁目/１６番,140.90485,38.25005,0,1,1,1,1.0,0.5454545454545454,0,2,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
いずみの杜診療所（松森字下町,〒981-3111 宮城県仙台市泉区松森下町８−１,宮城県/仙台市/泉区/松森,140.91335,38.30897,0,3,3,3,1.0,0.6153846153846154,0,6,1.0,0.14853965336720493,0.5,0.2939873781253034,0.2935940053232775
いずみクリニック（加茂四,〒981-3122 宮城県仙台市泉区加茂４丁目４−２,宮城県/仙台市/泉区/加茂/四丁目/４番,140.85486,38.3128,1,1,1,2,0.5,0.5,1,2,0.6666666666666666,0.1177148902285694,0.5,0.21406359281587264,0.17960336407635175
いずみ野村ファミリークリニック（野村桂島,〒981-3124 宮城県仙台市泉区野村桂島東１−５,宮城県/仙台市/泉区/野村/桂島東/１番地,140.86691,38.32842,0,3,3,3,1.0,0.6153846153846154,0,4,1.0,0.14853965336720493,0.5,0.2939873781253034,0.2935940053232775
いのうえ小児科クリニック（福室二,〒983-0005 宮城県仙台市宮城野区福室２丁目６−２４,宮城県/仙台市/宮城野区/福室/二丁目/６番,140.96771,38.27299,0,1,1,1,1.0,0.5454545454545454,0,0,0.0,0.07426982668360246,0.5,0.10328739535635799,0.021609723829983926
うりぼうキッズクリニック,〒983-0828 宮城県仙台市宮城野区岩切分台３丁目１−５,宮城県/仙台市/宮城野区/岩切分台/三丁目/１番,140.95534,38.30689,3,2,2,5,0.4,0.4666666666666667,4,3,0.42857142857142855,0.19198471691217187,0.8,0.2899260832400712,0.2878016169063859
おあば・南吉成ペインクリニック,〒989-3204 宮城県仙台市青葉区南吉成６丁目６−１０,宮城県/仙台市/青葉区/南吉成/六丁目/６番,140.81238,38.28583,0,3,3,3,1.0,0.6153846153846154,0,5,1.0,0.14853965336720493,0.5,0.2939873781253034,0.2935940053232775
おおかた内科胃腸科医院（鶴ヶ谷北一,〒983-0825 宮城県仙台市宮城野区鶴ケ谷北１丁目１４−２１,宮城県/仙台市/宮城野区/鶴ケ谷北/一丁目/１４番,140.91653,38.29602,0,1,1,1,1.0,0.5454545454545454,0,2,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
おおさか内科・外科クリニック（明石南三,〒981-3101 宮城県仙台市泉区明石南３丁目５−７ おおさか内科・外科クリニック,宮城県/仙台市/泉区/明石南/三丁目/５番,140.88617,38.34021,0,1,1,1,1.0,0.5454545454545454,0,2,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
おおつか内科医院（将監八丁,〒981-3132 宮城県仙台市泉区将監８丁目８−１,宮城県/仙台市/泉区/将監/八丁目/８番,140.87784,38.33347,1,3,3,4,0.75,0.5714285714285714,1,2,0.6666666666666666,0.17244919717907164,0.5,0.23509073921238496,0.20959315862939573
おおのだ田中クリニック（大野田四,〒982-0014 宮城県仙台市太白区大野田４丁目１８−１,宮城県/仙台市/太白区/大野田/四丁目,140.87509,38.21232,0,7,5,7,1.0,0.6666666666666666,0,12,1.0,0.22280948005080736,0.8,0.5038603057913263,0.5929235417359718
おおひら内科クリニック（二日町,〒980-0802 宮城県仙台市青葉区二日町１６−２７,宮城県/仙台市/青葉区/二日町/１６番,140.86543,38.27101,2,2,2,4,0.5,0.5,2,4,0.6666666666666666,0.17244919717907164,0.5,0.22318597730762302,0.19261408990583692
おかだしゅうこ皮膚科,〒981-3133 宮城県仙台市泉区泉中央１丁目１５−２ 赤間総業泉中央パーキングビル 1階,宮城県/仙台市/泉区/泉中央/一丁目/１５番,140.8801,38.32342,0,1,1,1,1.0,0.5454545454545454,0,1,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
おかだ小児科（黒松一,〒981-8006 宮城県仙台市泉区黒松１丁目３−５ 泰佳詩会おかだ小児科,宮城県/仙台市/泉区/黒松/一丁目/３番,140.88187,38.30465,1,0,0,1,0.0,0.45454545454545453,1,0,0.0,0.07426982668360246,0.5,0.08813588020484282,0.0
おくぐち皮ふ科クリニック（袋原字小原,〒981-1102 宮城県仙台市太白区袋原小原４２−３ ２,宮城県/仙台市/太白区/袋原/小原/４２番地,140.90445,38.19706,0,1,1,1,1.0,0.5454545454545454,0,1,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
おくやまアイクリニック（荒巻中央,〒981-0964 宮城県仙台市青葉区荒巻中央１７−１６,宮城県/仙台市/青葉区/荒巻中央/１７番,140.8568,38.2921,0,1,1,1,1.0,0.5454545454545454,0,2,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
おざわ女性総合クリニック（荒町,〒984-0073 宮城県仙台市若林区荒町１９２,宮城県/仙台市/若林区/荒町/１９２番地,140.88615,38.24955,0,3,3,3,1.0,0.6153846153846154,0,5,1.0,0.14853965336720493,0.5,0.2939873781253034,0.2935940053232775
かかず整形外科医院（八幡三,〒980-0871 宮城県仙台市青葉区八幡３丁目４−１３,宮城県/仙台市/青葉区/八幡/三丁目/４番,140.84476,38.26932,0,5,5,5,1.0,0.6666666666666666,0,5,1.0,0.19198471691217187,0.8,0.4956403689543569,0.5811999244494817
かぎとり診療所（鈎取本町一,〒982-0805 宮城県仙台市太白区鈎取本町１丁目１３−２,宮城県/仙台市/太白区/鈎取本町/一丁目/１３番,140.8342,38.22164,3,5,5,8,0.625,0.5555555555555556,3,6,0.6666666666666666,0.23542978045713886,0.8,0.3887072007144963,0.4286873730101945
かさい内科クリニック（富沢南一,〒982-0036 宮城県仙台市太白区富沢南１丁目２５−１,宮城県/仙台市/太白区/富沢南/一丁目/２５番,140.86893,38.21368,0,1,1,1,1.0,0.5454545454545454,0,2,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
かさはらＬクリニック（郡山一,〒982-0003 宮城県仙台市太白区郡山１丁目１５−５,宮城県/仙台市/太白区/郡山/一丁目/１５番,140.88991,38.22735,1,8,7,9,0.875,0.6666666666666666,1,0,0.0,0.24671902386267414,0.8,0.24356951747449088,0.22168594636894118
かとう耳鼻咽喉・嚥下クリニック,〒980-0802 宮城県仙台市青葉区二日町１１−１２ リーベンス二日町 1F,宮城県/仙台市/青葉区/二日町/１１番,140.86798,38.27058,0,2,2,2,1.0,0.5833333333333334,0,4,1.0,0.1177148902285694,0.5,0.28350803726031715,0.27864793163044477
かねこクリニック（西の平一,〒982-0825 宮城県仙台市太白区西の平１丁目２５−２７,宮城県/仙台市/太白区/西の平/一丁目/２５番,140.85582,38.22929,0,1,1,1,1.0,0.5454545454545454,0,2,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
かねとう腎泌尿器科クリニック（中央三,〒980-0021 宮城県仙台市青葉区中央３丁目１−２１ USビル 19 2F,宮城県/仙台市/青葉区/中央/三丁目/１番,140.87874,38.26047,0,1,1,1,1.0,0.5454545454545454,0,1,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
かの耳鼻咽喉科クリニック（荒井六,〒984-0032 宮城県仙台市若林区荒井６丁目２−２,宮城県/仙台市/若林区/荒井/六丁目/２番,140.94557,38.24306,0,1,1,1,1.0,0.5454545454545454,0,0,0.0,0.07426982668360246,0.5,0.10328739535635799,0.021609723829983926
かめやま整形外科（富沢南一,〒982-0036 宮城県仙台市太白区富沢南１丁目２３−７,宮城県/仙台市/太白区/富沢南/一丁目/２３番,140.868,38.21313,6,6,6,12,0.5,0.5,7,7,0.5,0.2748310165194577,1.0,0.42494367217315254,0.4803693423026417
かやば小児科医院（中倉一,〒984-0821 宮城県仙台市若林区中倉１丁目１１−３,宮城県/仙台市/若林区/中倉/一丁目/１１番,140.91011,38.24358,0,1,1,1,1.0,0.5454545454545454,0,1,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
からだとこころのクリニックラポール（堰場,〒984-0817 宮城県仙台市若林区堰場12番5号 ソレアード舟丁 1F,宮城県/仙台市/若林区/堰場/１２番地,140.88666,38.2422,0,2,2,2,1.0,0.5833333333333334,0,2,1.0,0.1177148902285694,0.5,0.28350803726031715,0.27864793163044477
かわせみクリニック（泉中央四,〒981-3133 宮城県仙台市泉区泉中央４丁目２１−７,宮城県/仙台市/泉区/泉中央/四丁目/２１番,140.88644,38.32233,0,1,1,1,1.0,0.5454545454545454,0,1,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
かわむらこどもクリニック（高松一,〒981-0907 宮城県仙台市青葉区高松１丁目１６−１,宮城県/仙台市/青葉区/高松/一丁目/１６番,140.88976,38.27913,1,2,2,3,0.6666666666666666,0.5384615384615384,1,2,0.6666666666666666,0.14853965336720493,0.5,0.22561130974923502,0.19607320034693984
かんのキッズクリニック（大和町二,〒981-0907 宮城県仙台市青葉区高松１丁目１６−１,宮城県/仙台市/青葉区/高松/一丁目/１６番,140.88976,38.27913,0,2,2,2,1.0,0.5833333333333334,0,3,1.0,0.1177148902285694,0.5,0.28350803726031715,0.27864793163044477
きたのはら女性クリニック（国分町二,〒980-0803 宮城県仙台市青葉区国分町２丁目２−５ 柴崎ビル 8F,宮城県/仙台市/青葉区/国分町/二丁目/２番,140.86926,38.26235,0,1,1,1,1.0,0.5454545454545454,0,1,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
くすの木内科クリニック,〒981-1104 宮城県仙台市太白区中田３丁目８−３７,宮城県/仙台市/太白区/中田/三丁目/８番,140.88553,38.19909,0,2,2,2,1.0,0.5833333333333334,0,2,1.0,0.1177148902285694,0.5,0.28350803726031715,0.27864793163044477
くにみ内科クリニック（国見四,〒981-0943 宮城県仙台市青葉区国見４丁目２−５,宮城県/仙台市/青葉区/国見/四丁目/２番,140.84213,38.27608,0,2,2,2,1.0,0.5833333333333334,0,3,1.0,0.1177148902285694,0.5,0.28350803726031715,0.27864793163044477
くにみ整形外科クリニック（国見四,〒981-0943 宮城県仙台市青葉区国見４丁目２−７,宮城県/仙台市/青葉区/国見/四丁目/２番,140.84213,38.27608,7,5,4,12,0.36363636363636365,0.42857142857142855,12,12,0.5,0.2748310165194577,1.0,0.40113414836362876,0.4464112048555242
くにみ透析クリニック（国見六,〒981-0943 宮城県仙台市青葉区国見６丁目８７−１,宮城県/仙台市/青葉区/国見/六丁目/８７番,140.83018,38.28279,0,2,2,2,1.0,0.5833333333333334,0,2,1.0,0.1177148902285694,0.5,0.28350803726031715,0.27864793163044477
くまがいクリニック（西多賀一,〒982-0034 宮城県仙台市太白区西多賀１丁目１９−１５,宮城県/仙台市/太白区/西多賀/一丁目/１９番,140.8587,38.22365,1,2,2,3,0.6666666666666666,0.5384615384615384,1,3,0.75,0.14853965336720493,0.5,0.23950019863812388,0.21588211385775843
くりう耳鼻科医院（栗生五,〒989-3122 宮城県仙台市青葉区栗生５丁目８−１０ ロワールＴ．Ｎ 2階,宮城県/仙台市/青葉区/栗生/五丁目/８番,140.79027,38.2659,1,1,1,2,0.5,0.5,1,2,0.6666666666666666,0.1177148902285694,0.5,0.21406359281587264,0.17960336407635175
こころのクリニック　ＯＡＳＩＳ（二日町,〒980-0802 宮城県仙台市青葉区二日町１７−２７ 北四青葉ビル 2階,宮城県/仙台市/青葉区/二日町/１７番,140.86638,38.2714,0,2,2,2,1.0,0.5833333333333334,0,0,0.0,0.1177148902285694,0.5,0.11684137059365046,0.04094096950062177
こまつ皮膚科クリニック北仙台（昭和町,〒980-0802 宮城県仙台市青葉区二日町１７−２７ 北四青葉ビル 2階,宮城県/仙台市/青葉区/二日町/１７番,140.86638,38.2714,1,0,0,1,0.0,0.45454545454545453,1,0,0.0,0.07426982668360246,0.5,0.08813588020484282,0.0
こん小児科クリニック,〒981-3135 宮城県仙台市泉区八乙女中央２丁目４−２５,宮城県/仙台市/泉区/八乙女中央/二丁目/４番,140.88213,38.31672,2,0,0,2,0.0,0.4166666666666667,2,0,0.0,0.1177148902285694,0.5,0.08906359281587269,0.0013231424789846085
ごとう整形外科クリニック（本町二,〒980-0014 宮城県仙台市青葉区本町２丁目４−８ ５１０ビル ４Ｆ,宮城県/仙台市/青葉区/本町/二丁目/４番,140.87346,38.26369,2,2,2,4,0.5,0.5,3,4,0.5714285714285714,0.17244919717907164,0.5,0.20731296143460717,0.16997533160775857
さいとう伸整形外科（荒巻本沢三,〒981-0966 宮城県仙台市青葉区荒巻本沢３丁目１−１５,宮城県/仙台市/青葉区/荒巻本沢/三丁目/１番,140.85716,38.28927,12,10,10,22,0.45454545454545453,0.46875,22,12,0.35294117647058826,0.3359641624688921,1.0,0.3858851129798268,0.42466239359656177
さいとう眼科（中央一,〒983-0852 宮城県仙台市青葉区中央１丁目１−１ エスパル仙台 東館 4F,宮城県/仙台市/青葉区/中央/一丁目/１番,140.8817,38.26034,0,1,1,1,1.0,0.5454545454545454,0,0,0.0,0.07426982668360246,0.5,0.10328739535635799,0.021609723829983926
さいとう脳神経外科クリニック,〒989-3206 宮城県仙台市青葉区吉成台１丁目１−２０,宮城県/仙台市/青葉区/吉成台/一丁目/１番,140.82272,38.29286,2,4,4,6,0.6666666666666666,0.5625,2,6,0.75,0.20850176350057656,0.8,0.40560047026682045,0.4527812597245337
さがら内科クリニック（小松島四,〒981-0905 宮城県仙台市青葉区小松島４丁目２７−３３,宮城県/仙台市/青葉区/小松島/四丁目/２７番,140.89159,38.28756,0,5,5,5,1.0,0.6666666666666666,0,6,1.0,0.19198471691217187,0.8,0.4956403689543569,0.5811999244494817
さくやま小児科クリニック（南吉成四,〒989-3204 宮城県仙台市青葉区南吉成４丁目１３−２,宮城県/仙台市/青葉区/南吉成/四丁目/１３番,140.81548,38.28901,1,1,1,2,0.5,0.5,1,2,0.6666666666666666,0.1177148902285694,0.5,0.21406359281587264,0.17960336407635175
さくらい循環器科・内科ＣＬ（河原町一,〒984-0816 宮城県仙台市若林区河原町１丁目１−５ リライアンス河原町,宮城県/仙台市/若林区/河原町/一丁目/１番,140.88812,38.24048,1,5,4,6,0.8,0.6,1,10,0.9090909090909091,0.20850176350057656,0.8,0.4580247126910629,0.527550904176278
さくら外科整形外科クリニック（上飯田四,〒984-0838 宮城県仙台市若林区上飯田４丁目９−１８,宮城県/仙台市/若林区/上飯田/四丁目/９番,140.92508,38.21777,4,3,3,7,0.42857142857142855,0.47058823529411764,5,3,0.375,0.22280948005080736,0.8,0.2849060574253134,0.2806418463889497
さとう小児科小内科（鈎取本町一,〒982-0805 宮城県仙台市太白区鈎取本町１丁目５−５,宮城県/仙台市/太白区/鈎取本町/一丁目/５番,140.84198,38.22121,4,2,2,6,0.3333333333333333,0.4375,4,2,0.3333333333333333,0.20850176350057656,0.8,0.26115602582237596,0.24676855921202043
さとう腎臓内科ひ尿器科（長町二,〒982-0011 宮城県仙台市太白区長町２丁目９−３１,宮城県/仙台市/太白区/長町/二丁目/９番,140.88232,38.23526,5,7,7,12,0.5833333333333334,0.5454545454545454,5,11,0.6875,0.2748310165194577,1.0,0.5025951873246677,0.5911191769313092
さのクリニック,〒983-0812 宮城県仙台市宮城野区小田原弓ノ町１００−１ アンサンブルメディカルビル ４Ｆ,宮城県/仙台市/宮城野区/小田原弓ノ町,140.89189,38.26429,1,1,1,2,0.5,0.5,1,2,0.6666666666666666,0.1177148902285694,0.5,0.21406359281587264,0.17960336407635175
さはた内科クリニック（一番町三,〒980-0811 宮城県仙台市青葉区一番町３丁目６−１ 一番町平和ビル,宮城県/仙台市/青葉区/一番町/三丁目/６番,140.87379,38.26107,0,1,1,1,1.0,0.5454545454545454,0,1,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
しかない整形外科クリニック（中山九,〒981-0952 宮城県仙台市青葉区中山９丁目１−３,宮城県/仙台市/青葉区/中山/九丁目/１番,140.83235,38.29935,7,2,2,9,0.2222222222222222,0.3684210526315789,10,3,0.23076923076923078,0.24671902386267414,0.8,0.22557581527026238,0.1960225766383261
しばた整形外科（大和町二,〒984-0042 宮城県仙台市若林区大和町２丁目６−３ ２Ｆ,宮城県/仙台市/若林区/大和町/二丁目/６番,140.9151,38.24847,3,1,1,4,0.25,0.42857142857142855,5,2,0.2857142857142857,0.17244919717907164,0.5,0.14778915191079764,0.08507998798996465
しょうげん内科クリニック（将監殿三,〒981-3136 宮城県仙台市泉区将監殿３丁目21−７,宮城県/仙台市/泉区/将監殿/三丁目/２１番,140.8768,38.34278,1,2,2,3,0.6666666666666666,0.5384615384615384,1,2,0.6666666666666666,0.14853965336720493,0.5,0.22561130974923502,0.19607320034693984
しろうまる浅田クリニック,〒981-1101 宮城県仙台市太白区四郎丸神明２９−１０,宮城県/仙台市/太白区/四郎丸/神明/２９番地,140.91151,38.19025,6,0,0,6,0.0,0.3125,6,0,0.0,0.20850176350057656,0.8,0.13893380360015375,0.07245012031681694
しんてらこどもクリニック（新寺一,〒984-0051 宮城県仙台市若林区新寺１丁目８−１ ２Ｆ,宮城県/仙台市/若林区/新寺/一丁目/８番,140.88446,38.25407,1,0,0,1,0.0,0.45454545454545453,1,0,0.0,0.07426982668360246,0.5,0.08813588020484282,0.0
しんでん東耳鼻咽喉科（新田東二,〒983-0039 宮城県仙台市宮城野区新田東２丁目１０−５ ＳＨビル 1F,宮城県/仙台市/宮城野区/新田東/二丁目/１０番,140.93468,38.27474,0,3,3,3,1.0,0.6153846153846154,0,4,1.0,0.14853965336720493,0.5,0.2939873781253034,0.2935940053232775
すがわら小児科クリニック（あすと長町一,〒982-0007 宮城県仙台市太白区あすと長町１丁目２−１ 仙台長町メディカルプラザ2階,宮城県/仙台市/太白区/あすと長町/一丁目/２番,140.88768,38.23102,4,2,2,6,0.3333333333333333,0.4375,4,2,0.3333333333333333,0.20850176350057656,0.8,0.26115602582237596,0.24676855921202043
すけの医院（三神峰二,〒982-0826 宮城県仙台市太白区三神峯２丁目２−３,宮城県/仙台市/太白区/三神峯/二丁目/２番,140.85039,38.22802,0,1,1,1,1.0,0.5454545454545454,0,2,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
すずきクリニック（栗生四,〒989-3122 宮城県仙台市青葉区栗生４丁目１２−３,宮城県/仙台市/青葉区/栗生/四丁目/１２番,140.79092,38.26728,0,1,1,1,1.0,0.5454545454545454,0,0,0.0,0.07426982668360246,0.5,0.10328739535635799,0.021609723829983926
せきこどもクリニック（福室五,〒983-0005 宮城県仙台市宮城野区福室５丁目９−４０,宮城県/仙台市/宮城野区/福室/五丁目/９番,140.9711,38.27901,0,1,1,1,1.0,0.5454545454545454,0,1,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
せき内科脳神経内科クリニック（松森字新田,〒981-3111 宮城県仙台市泉区松森新田１０７,宮城県/仙台市/泉区/松森/新田,140.90593,38.30437,2,2,2,4,0.5,0.5,2,3,0.6,0.17244919717907164,0.5,0.21207486619651195,0.1767669590971821
せせらぎクリニック,〒989-3127 宮城県仙台市青葉区愛子東１丁目４−２７,宮城県/仙台市/青葉区/愛子東/一丁目/４番,140.7804,38.27275,0,1,1,1,1.0,0.5454545454545454,0,2,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
せんだんホスピタル（国見ヶ丘六,〒989-3127 宮城県仙台市青葉区愛子東１丁目４−２７,宮城県/仙台市/青葉区/愛子東/一丁目/４番,140.7804,38.27275,13,40,38,53,0.7450980392156863,0.7049180327868853,22,45,0.6716417910447762,0.4274144973693107,1.0,0.6013247737336574,0.731931437276998
その他の場所（市外,,,,,2,0,0,2,0.0,0.4166666666666667,2,0,0.0,0.1177148902285694,0.5,0.08906359281587269,0.0013231424789846085
その他公的病院（市外,,,,,1,0,0,1,0.0,0.45454545454545453,3,0,0.0,0.07426982668360246,0.5,0.08813588020484282,0.0
その他公的病院（市外,,,,,1,0,0,1,0.0,0.45454545454545453,3,0,0.0,0.07426982668360246,0.5,0.08813588020484282,0.0
その他公的病院（泉,,,,,0,1,1,1,1.0,0.5454545454545454,0,3,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
その他公的病院（泉,,,,,0,1,1,1,1.0,0.5454545454545454,0,3,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
その他国立病院（市外,,,,,2,0,0,2,0.0,0.4166666666666667,6,0,0.0,0.1177148902285694,0.5,0.08906359281587269,0.0013231424789846085
その他国立診療所（若林,,,,,1,0,0,1,0.0,0.45454545454545453,3,0,0.0,0.07426982668360246,0.5,0.08813588020484282,0.0
その他私的病院（宮城,,,,,0,1,1,1,1.0,0.5454545454545454,0,2,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
その他私的病院（宮城,,,,,0,1,1,1,1.0,0.5454545454545454,0,2,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
その他私的病院（宮城,,,,,0,1,1,1,1.0,0.5454545454545454,0,2,1.0,0.07426982668360246,0.5,0.26995406202302463,0.25931668595980684
その他私的病院（市外,,,,,5,2,2,7,0.2857142857142857,0.4117647058823529,9,2,0.18181818181818182,0.22280948005080736,0.8,0.2177046314003579,0.18479636540184455
その他私的病院（市外,,,,,5,2,2,7,0.2857142857142857,0.4117647058823529,9,2,0.18181818181818182,0.22280948005080736,0.8,0.2177046314003579,0.18479636540184455
